Test unit,test 14
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.76,-24.9,-0.092
-1.56,-24,-0.082
-1.56,-19.6,-0.082
-1.37,-18.8,-0.072
-1.37,-14.4,-0.072
-1.17,-13.5,-0.062
-1.17,-9.2,-0.062
-0.98,-8.3,-0.051
-0.98,-3.9,-0.051
-0.78,-3.1,-0.041
-0.79,-0.5,-0.041
-0.77,0.2,-0.04
-0.59,1.3,-0.031
-0.59,5.7,-0.031
-0.39,6.5,-0.021
-0.39,10.9,-0.021
-0.2,11.8,-0.01
-0.2,15.3,-0.01
-0,16.1,-0
-0,20.5,-0
0.19,21.4,0.01
0.19,19.7,0.01
0.19,24.9,0.01
0.39,25.8,0.02
0.39,29.3,0.02
0.58,30.1,0.031
0.58,33.6,0.031
0.78,34.5,0.041
0.78,38,0.041
0.98,38.9,0.051
0.98,42.3,0.051
1.17,43.2,0.062
1.17,45,0.062
1.37,45.9,0.072
1.37,49.3,0.072
1.56,50.2,0.082
1.56,52.8,0.082
1.76,53.7,0.092
1.76,56.3,0.092
1.95,57.2,0.103
1.95,59.8,0.103
2.15,60.7,0.113
2.15,62.4,0.113
2.34,63.3,0.123
2.34,65.9,0.123
2.73,67.7,0.144
2.73,70.3,0.144
2.93,71.2,0.154
2.93,72.1,0.154
2.93,62.4,0.154
2.73,61.6,0.144
2.73,54.6,0.144
2.54,53.7,0.133
2.54,47.6,0.133
2.34,46.7,0.123
2.34,42.3,0.123
2.15,41.5,0.113
2.15,37.1,0.113
1.95,36.2,0.103
1.95,31.9,0.103
1.76,31,0.092
1.76,27.5,0.092
1.56,26.6,0.082
1.56,22.3,0.082
1.37,21.4,0.072
1.37,17,0.072
1.17,16.1,0.062
1.17,12.7,0.062
0.98,11.8,0.051
0.98,7.4,0.051
0.78,6.5,0.041
0.78,3.1,0.041
0.58,2.2,0.031
0.58,-1.3,0.031
0.39,-2.2,0.02
0.39,-6.6,0.02
0.19,-7.4,0.01
0.19,-10.9,0.01
-0,-11.8,-0
-0,-15.3,-0
-0.2,-16.2,-0.01
-0.2,-20.5,-0.01
-0.39,-19.6,-0.021
-0.39,-24,-0.021
-0.59,-24.9,-0.031
-0.59,-29.3,-0.031
-0.78,-30.1,-0.041
-0.78,-33.6,-0.041
-0.98,-34.5,-0.051
-0.98,-38,-0.051
-1.17,-38.9,-0.062
-1.17,-42.4,-0.062
