Test unit,E6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.1,-19.5,-0.009
-0.09,-18.5,-0.008
-0.09,-17.5,-0.008
-0.08,-16.3,-0.007
-0.08,-15.3,-0.007
-0.08,-14.2,-0.007
-0.07,-13.2,-0.006
-0.06,-12.1,-0.006
-0.05,-11,-0.005
-0.03,-10.1,-0.003
-0.03,-9.1,-0.002
-0.02,-8,-0.002
-0.02,-6.9,-0.002
-0.01,-5.9,-0.001
-0,-4.7,-0
-0,-3.5,-0
0,-2.6,0
0.01,-1.6,0.001
0.03,-0.6,0.003
0.04,0.5,0.003
0.04,1.6,0.004
0.05,3.1,0.004
0.07,4.8,0.006
0.07,5.9,0.006
0.08,7,0.007
0.09,8.2,0.008
0.1,9.4,0.009
0.12,10.6,0.01
0.13,11.7,0.011
0.14,12.6,0.012
0.17,14.2,0.014
0.18,15.4,0.016
0.19,14.1,0.016
0.2,12.9,0.018
0.19,14,0.017
0.18,15.1,0.016
0.18,16.3,0.016
0.18,17.5,0.016
0.19,18.5,0.017
0.21,19.6,0.018
0.21,20.5,0.018
0.23,21.4,0.02
0.24,22.6,0.021
0.25,23.8,0.022
0.27,24.9,0.023
0.28,26,0.024
0.29,27.2,0.025
0.31,28.1,0.027
0.32,29.1,0.028
0.34,30.3,0.029
0.35,31.3,0.03
0.36,32.2,0.031
0.37,33.2,0.032
0.38,34.3,0.033
0.4,35.1,0.034
0.4,36.1,0.035
0.4,37.1,0.035
0.41,38.1,0.036
0.43,39.1,0.037
0.45,40,0.039
0.46,40.9,0.04
0.49,41.7,0.042
0.51,42.7,0.044
0.52,43.5,0.046
0.54,44.6,0.047
0.56,45.4,0.048
0.57,46.3,0.05
0.58,47.2,0.051
0.59,48.2,0.051
0.62,48.9,0.054
0.64,49.6,0.056
0.65,50.6,0.057
0.68,51.4,0.059
0.69,52.2,0.06
0.72,53,0.062
0.74,53.8,0.065
0.77,54.5,0.067
0.79,54.9,0.069
0.8,55.8,0.07
0.83,56.6,0.072
0.85,57.4,0.074
0.87,58.2,0.076
0.88,57,0.077
0.87,56,0.076
0.86,57.2,0.075
0.88,58.4,0.076
0.89,59.5,0.078
0.9,58.4,0.079
0.91,57.1,0.079
0.91,55.9,0.079
0.91,54.7,0.079
0.88,55.8,0.077
0.88,57,0.077
0.89,58.2,0.077
0.91,59.2,0.079
0.94,58.1,0.081
0.94,57,0.081
0.94,55.6,0.081
0.92,54.3,0.08
0.9,53.4,0.078
0.89,54.5,0.077
0.89,55.6,0.077
0.88,56.7,0.077
0.89,57.9,0.077
0.91,59,0.079
0.92,57.7,0.08
0.93,56.6,0.081
0.93,55.1,0.081
0.92,54,0.08
0.91,53.1,0.079
0.9,54.1,0.078
0.89,55.4,0.078
0.89,56.5,0.077
0.9,57.6,0.078
0.93,56.5,0.08
0.93,55.3,0.081
0.92,53.9,0.08
0.9,52.8,0.079
0.87,53.8,0.076
0.87,54.9,0.076
0.87,53.8,0.076
0.88,52.6,0.076
0.87,51.5,0.076
0.86,50.5,0.075
0.85,51.5,0.074
0.85,50.3,0.074
0.83,49.3,0.072
0.82,48.3,0.071
0.79,49.3,0.069
0.8,48.2,0.069
0.79,47.1,0.069
0.78,46.1,0.068
0.75,45.1,0.066
0.74,44.1,0.064
0.74,43.1,0.064
0.71,42.3,0.062
0.7,41.3,0.061
0.68,40.4,0.059
0.67,39.3,0.059
0.65,38.2,0.057
0.64,37.2,0.056
0.62,36.2,0.054
0.61,35.2,0.053
0.6,34.2,0.052
0.59,33.1,0.051
0.57,32,0.05
0.55,31,0.048
0.54,30,0.047
0.53,29,0.046
0.52,28,0.045
0.51,26.9,0.044
0.5,25.9,0.043
0.49,24.9,0.043
0.48,23.9,0.042
0.47,22.8,0.041
0.46,21.8,0.04
0.46,20.7,0.04
0.46,19.4,0.04
0.44,18.4,0.039
0.43,17.4,0.037
0.41,16.5,0.036
0.39,15.4,0.034
0.38,14.3,0.033
0.37,13.2,0.032
0.37,12.1,0.032
0.36,11.1,0.031
0.35,10.1,0.03
0.34,9,0.03
0.33,8,0.029
0.32,6.9,0.028
