Test unit,C5
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.04,-24.5,-0.003
-0.05,-25.9,-0.003
-0.05,-27.2,-0.004
-0.06,-28.8,-0.005
-0.07,-30.7,-0.005
-0.07,-32.1,-0.005
-0.08,-33.5,-0.006
-0.08,-35,-0.006
-0.08,-36.7,-0.006
-0.08,-38.3,-0.006
-0.09,-39.5,-0.007
-0.1,-40.8,-0.008
-0.12,-41.9,-0.009
-0.12,-43.1,-0.009
-0.12,-44.4,-0.009
-0.13,-45.6,-0.01
-0.14,-47,-0.01
-0.14,-48.6,-0.011
-0.16,-50.3,-0.012
-0.16,-51.6,-0.012
-0.17,-52.9,-0.013
-0.18,-54.2,-0.013
-0.19,-55.6,-0.014
-0.19,-57.1,-0.014
-0.2,-58.7,-0.015
-0.2,-60.2,-0.015
-0.2,-61.5,-0.015
-0.21,-62.8,-0.015
-0.21,-64.4,-0.016
-0.22,-65.9,-0.016
-0.23,-67.3,-0.017
-0.24,-68.7,-0.018
-0.24,-70,-0.018
-0.24,-71.5,-0.018
-0.25,-72.9,-0.018
-0.26,-74.1,-0.019
-0.27,-75.2,-0.02
-0.28,-76.4,-0.021
-0.3,-77.5,-0.022
-0.31,-79.1,-0.023
-0.32,-80.3,-0.024
-0.34,-81.7,-0.025
-0.35,-83.1,-0.026
-0.37,-84.4,-0.027
-0.37,-85.6,-0.028
-0.39,-86.8,-0.029
-0.4,-88,-0.029
-0.41,-89.3,-0.03
-0.43,-90.7,-0.032
-0.44,-92.1,-0.032
-0.45,-93.3,-0.033
-0.46,-94.5,-0.034
-0.47,-95.8,-0.035
-0.47,-97.3,-0.035
-0.49,-98,-0.037
-0.51,-99,-0.038
-0.53,-100.1,-0.039
-0.55,-101.2,-0.04
-0.57,-102,-0.042
-0.57,-103.1,-0.042
-0.58,-104.2,-0.043
-0.59,-105.3,-0.044
-0.6,-106.1,-0.044
-0.61,-107,-0.045
-0.62,-108,-0.046
-0.63,-109.1,-0.047
-0.65,-109.9,-0.048
-0.67,-110.6,-0.05
-0.69,-111.2,-0.051
-0.71,-112.2,-0.052
-0.73,-113,-0.054
-0.74,-113.7,-0.055
-0.76,-114.5,-0.056
-0.79,-115.1,-0.058
-0.81,-115.9,-0.06
-0.84,-116,-0.062
-0.86,-116.9,-0.064
-0.88,-117.4,-0.065
-0.89,-115.8,-0.066
-0.89,-114.2,-0.066
-0.88,-112.7,-0.065
-0.87,-111.4,-0.064
-0.84,-110.4,-0.062
-0.85,-109,-0.063
-0.83,-107.9,-0.062
-0.81,-106.8,-0.06
-0.8,-105.5,-0.059
-0.78,-104.2,-0.058
-0.76,-102.9,-0.056
-0.73,-101.8,-0.054
-0.72,-100.6,-0.053
-0.71,-99.4,-0.052
-0.69,-98,-0.051
-0.67,-96.9,-0.05
-0.65,-95.6,-0.048
-0.64,-94.2,-0.047
-0.62,-93.1,-0.046
-0.61,-91.9,-0.045
-0.59,-90.5,-0.044
-0.58,-89.3,-0.043
-0.56,-88.3,-0.042
-0.54,-87.6,-0.04
-0.54,-85.9,-0.04
-0.54,-84.5,-0.04
-0.54,-83.2,-0.04
-0.53,-82,-0.039
-0.52,-80.6,-0.039
-0.51,-79.3,-0.038
-0.5,-78,-0.037
-0.49,-76.7,-0.036
-0.47,-75.3,-0.035
-0.46,-73.8,-0.034
-0.45,-72.6,-0.033
-0.44,-71.4,-0.033
-0.43,-70,-0.032
-0.42,-68.6,-0.031
-0.41,-66.9,-0.03
-0.4,-65.3,-0.03
-0.39,-64.1,-0.029
-0.38,-62.9,-0.028
-0.36,-61.8,-0.027
-0.36,-60.4,-0.026
-0.35,-59.1,-0.026
-0.35,-57.3,-0.026
-0.34,-55.9,-0.025
-0.33,-54.5,-0.024
-0.32,-53.2,-0.024
-0.31,-51.5,-0.023
-0.3,-50.1,-0.022
-0.29,-48.6,-0.022
-0.28,-47,-0.02
-0.27,-45.4,-0.02
-0.26,-44,-0.019
-0.24,-42.5,-0.018
-0.23,-41.2,-0.017
-0.22,-39.6,-0.016
