Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.9,-33.5,-0.127
-1.9,-27.3,-0.127
-1.76,-26.7,-0.117
-1.76,-23.5,-0.117
-1.62,-22.9,-0.108
-1.62,-20.4,-0.108
-1.48,-19.8,-0.099
-1.48,-17.2,-0.099
-1.34,-16.6,-0.089
-1.34,-14.7,-0.089
-1.2,-14.1,-0.08
-1.2,-11.6,-0.08
-1.06,-11,-0.07
-1.06,-9.7,-0.07
-0.92,-9.1,-0.061
-0.92,-7.2,-0.061
-0.78,-6.6,-0.052
-0.78,-4.7,-0.052
-0.64,-4.1,-0.042
-0.64,-2.8,-0.042
-0.49,-2.2,-0.033
-0.49,-0.3,-0.033
-0.35,0.3,-0.024
NaN,NaN,NaN
-0.35,0.3,-0.024
-0.35,1.6,-0.024
-0.21,2.2,-0.014
-0.21,4.1,-0.014
-0.07,4.7,-0.005
-0.07,6.6,-0.005
0.07,7.2,0.005
0.07,8.5,0.005
0.21,9.1,0.014
0.21,11,0.014
0.35,11.6,0.023
0.35,13.5,0.023
0.49,14.1,0.033
0.49,15.4,0.033
0.63,16,0.042
0.63,17.2,0.042
0.77,17.9,0.052
0.77,19.1,0.052
0.92,19.7,0.061
0.92,21,0.061
1.06,21.6,0.07
1.06,22.9,0.07
1.2,23.5,0.08
1.2,25.4,0.08
1.34,26,0.089
1.34,27.3,0.089
1.48,27.9,0.099
1.48,29.8,0.099
1.62,30.4,0.108
1.62,31.7,0.108
1.76,32.3,0.117
1.76,33.5,0.117
1.9,34.2,0.127
1.9,36,0.127
2.04,36.7,0.136
2.04,37.9,0.136
2.32,39.2,0.155
2.32,39.8,0.155
2.61,41.1,0.174
2.61,41.7,0.174
2.89,42.9,0.192
2.89,43.6,0.192
3.03,42.9,0.202
3.03,38.5,0.202
2.89,37.9,0.192
2.89,35.4,0.192
2.75,34.8,0.183
2.75,31.7,0.183
2.61,31,0.174
2.61,29.2,0.174
2.47,28.5,0.164
2.47,26.6,0.164
2.32,26,0.155
2.32,24.8,0.155
2.18,24.1,0.146
2.18,22.3,0.146
2.04,21.6,0.136
2.04,19.7,0.136
1.9,19.1,0.127
1.9,17.9,0.127
1.76,17.2,0.117
1.76,16,0.117
1.62,15.4,0.108
1.62,14.1,0.108
1.48,13.5,0.099
1.48,11.6,0.099
1.34,11,0.089
1.34,9.7,0.089
1.2,9.1,0.08
1.2,7.8,0.08
1.06,7.2,0.07
1.06,6.6,0.07
0.92,6,0.061
0.92,4.7,0.061
0.77,4.1,0.052
0.77,2.2,0.052
0.63,1.6,0.042
0.63,0.3,0.042
0.49,-0.3,0.033
0.49,-1.6,0.033
0.35,-2.2,0.023
0.35,-3.4,0.023
0.21,-4.1,0.014
0.21,-5.3,0.014
0.07,-6,0.005
0.07,-7.2,0.005
-0.07,-7.8,-0.005
-0.07,-9.7,-0.005
-0.21,-10.3,-0.014
-0.21,-11.6,-0.014
-0.35,-12.2,-0.024
-0.35,-13.5,-0.024
-0.49,-14.1,-0.033
-0.49,-15.4,-0.033
-0.64,-16,-0.042
-0.64,-17.2,-0.042
-0.78,-17.9,-0.052
-0.78,-19.1,-0.052
-0.92,-19.8,-0.061
-0.92,-21,-0.061
-1.06,-21.6,-0.07
-1.06,-22.9,-0.07
-1.2,-23.5,-0.08
-1.2,-25.4,-0.08
-1.34,-26,-0.089
-1.34,-27.3,-0.089
-1.48,-27.9,-0.099
-1.48,-29.2,-0.099
-1.62,-29.8,-0.108
-1.62,-31,-0.108
-1.76,-31.7,-0.117
-1.76,-33.5,-0.117
-1.9,-34.2,-0.127
-1.9,-35.4,-0.127
-2.04,-36,-0.136
-2.33,-37.3,-0.155
-2.33,-37.9,-0.155
-2.47,-38.6,-0.164
-2.75,-39.8,-0.183
-2.75,-40.4,-0.183
-2.89,-41.1,-0.192
-2.89,-34.8,-0.192
-2.75,-34.2,-0.183
-2.75,-31.7,-0.183
-2.61,-31,-0.174
-2.61,-29.2,-0.174
-2.47,-28.5,-0.164
-2.47,-26.7,-0.164
-2.33,-26,-0.155
-2.33,-24.1,-0.155
-2.19,-23.5,-0.146
-2.19,-22.3,-0.146
-2.04,-21.6,-0.136
-2.04,-19.8,-0.136
-1.9,-19.1,-0.127
-1.9,-17.9,-0.127
-1.76,-17.2,-0.117
-1.76,-16,-0.117
-1.62,-15.4,-0.108
-1.62,-14.1,-0.108
-1.48,-13.5,-0.099
-1.48,-12.2,-0.099
-1.34,-11.6,-0.089
-1.34,-9.7,-0.089
-1.2,-9.1,-0.08
-1.2,-7.8,-0.08
-1.06,-7.2,-0.07
-1.06,-6,-0.07
-0.92,-5.3,-0.061
-0.92,-4.1,-0.061
-0.78,-3.4,-0.052
-0.78,-2.2,-0.052
-0.64,-1.6,-0.042
-0.64,-0.3,-0.042
-0.49,-0.3,-0.033
NaN,NaN,NaN
-0.49,0.3,-0.033
-0.49,1.6,-0.033
-0.35,2.2,-0.024
-0.35,3.4,-0.024
-0.21,4.1,-0.014
-0.21,6,-0.014
-0.07,6.6,-0.005
-0.07,7.8,-0.005
0.07,8.5,0.005
0.07,9.7,0.005
0.21,10.3,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,14.1,0.023
0.63,15.4,0.042
0.63,17.2,0.042
0.77,17.9,0.052
0.77,18.5,0.052
0.92,19.1,0.061
0.92,20.4,0.061
1.06,21,0.07
1.06,22.3,0.07
1.2,22.9,0.08
1.2,24.1,0.08
1.34,24.8,0.089
1.34,25.4,0.089
1.48,26,0.099
1.48,27.3,0.099
1.62,27.9,0.108
1.62,28.5,0.108
1.76,29.2,0.117
1.76,30.4,0.117
1.9,31,0.127
1.9,32.3,0.127
2.04,32.9,0.136
2.04,34.2,0.136
2.18,34.8,0.146
2.18,35.4,0.146
2.32,36,0.155
2.32,37.3,0.155
2.47,37.9,0.164
2.47,38.5,0.164
2.61,39.2,0.174
2.61,40.4,0.174
2.89,41.7,0.192
2.89,42.9,0.192
3.03,43.6,0.202
3.03,39.2,0.202
2.89,38.5,0.192
2.89,35.4,0.192
2.75,34.8,0.183
2.75,31.7,0.183
2.61,31,0.174
2.61,29.2,0.174
2.47,28.5,0.164
2.47,26.6,0.164
2.32,26,0.155
2.32,24.8,0.155
2.18,24.1,0.146
2.18,22.3,0.146
2.04,21.6,0.136
2.04,19.7,0.136
1.9,19.1,0.127
1.9,17.9,0.127
1.76,17.2,0.117
1.76,16,0.117
1.62,15.4,0.108
1.62,14.1,0.108
1.48,13.5,0.099
1.48,12.2,0.099
1.34,11.6,0.089
1.34,10.3,0.089
1.2,9.7,0.08
1.2,8.5,0.08
1.06,7.8,0.07
1.06,7.2,0.07
0.92,6.6,0.061
0.92,5.3,0.061
0.77,4.7,0.052
0.77,3.4,0.052
0.63,2.8,0.042
0.63,1.6,0.042
0.49,0.9,0.033
0.49,-0.3,0.033
0.35,-0.9,0.023
0.35,-2.2,0.023
0.21,-2.8,0.014
0.21,-4.1,0.014
0.07,-4.7,0.005
0.07,-6,0.005
-0.07,-6.6,-0.005
-0.07,-7.8,-0.005
-0.21,-8.5,-0.014
-0.21,-9.7,-0.014
-0.35,-10.3,-0.024
-0.35,-11.6,-0.024
-0.49,-12.2,-0.033
-0.49,-13.5,-0.033
-0.64,-14.1,-0.042
-0.64,-15.4,-0.042
-0.78,-16,-0.052
-0.78,-17.2,-0.052
-0.92,-17.9,-0.061
-0.92,-19.1,-0.061
-1.06,-19.8,-0.07
-1.06,-21,-0.07
-1.2,-21.6,-0.08
-1.2,-22.9,-0.08
-1.34,-23.5,-0.089
-1.34,-24.8,-0.089
-1.48,-25.4,-0.099
-1.48,-26.7,-0.099
-1.76,-27.9,-0.117
-1.76,-29.8,-0.117
-1.9,-30.4,-0.127
-1.9,-31,-0.127
-2.04,-31.7,-0.136
-2.04,-32.9,-0.136
-2.19,-33.5,-0.146
-2.19,-34.2,-0.146
-2.33,-34.8,-0.155
-2.33,-36,-0.155
-2.61,-37.3,-0.174
-2.61,-38.6,-0.174
-2.89,-39.8,-0.192
-2.89,-41.1,-0.192
-2.89,-34.8,-0.192
-2.75,-34.2,-0.183
-2.75,-31.7,-0.183
-2.61,-31,-0.174
-2.61,-29.2,-0.174
-2.47,-28.5,-0.164
-2.47,-26.7,-0.164
-2.33,-26,-0.155
-2.33,-24.1,-0.155
-2.19,-23.5,-0.146
-2.19,-22.3,-0.146
-2.04,-21.6,-0.136
-2.04,-19.8,-0.136
-1.9,-19.1,-0.127
-1.9,-17.9,-0.127
-1.76,-17.2,-0.117
-1.76,-16,-0.117
-1.62,-15.4,-0.108
-1.62,-14.1,-0.108
-1.48,-13.5,-0.099
-1.48,-11.6,-0.099
-1.34,-11,-0.089
-1.34,-9.7,-0.089
-1.2,-9.1,-0.08
-1.2,-7.8,-0.08
-1.06,-7.2,-0.07
-1.06,-6,-0.07
-0.92,-5.3,-0.061
-0.92,-4.1,-0.061
-0.78,-3.4,-0.052
-0.78,-2.2,-0.052
-0.64,-1.6,-0.042
-0.64,-0.3,-0.042
NaN,NaN,NaN
-0.49,0.3,-0.033
-0.49,2.2,-0.033
-0.35,2.8,-0.024
-0.35,4.1,-0.024
-0.21,4.7,-0.014
-0.21,6,-0.014
-0.07,6.6,-0.005
-0.07,7.8,-0.005
0.07,8.5,0.005
0.07,9.7,0.005
0.21,10.3,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,13.5,0.023
0.49,14.1,0.033
0.49,15.4,0.033
0.77,16.6,0.052
0.77,18.5,0.052
0.92,19.1,0.061
0.92,19.7,0.061
1.06,20.4,0.07
1.06,21.6,0.07
1.2,22.3,0.08
1.2,23.5,0.08
1.34,24.1,0.089
1.34,24.8,0.089
1.48,25.4,0.099
1.48,26.6,0.099
1.62,27.3,0.108
1.62,28.5,0.108
1.9,29.8,0.127
1.9,31.7,0.127
2.04,32.3,0.136
2.04,33.5,0.136
2.18,34.2,0.146
2.18,34.8,0.146
2.32,35.4,0.155
2.32,36.7,0.155
2.47,37.3,0.164
2.47,38.5,0.164
2.61,39.2,0.174
2.61,39.8,0.174
2.75,40.4,0.183
2.75,41.7,0.183
2.89,42.3,0.192
2.89,42.9,0.192
3.03,43.6,0.202
3.03,44.2,0.202
3.03,37.3,0.202
2.89,36.7,0.192
2.89,34.2,0.192
2.75,33.5,0.183
2.75,31,0.183
2.61,30.4,0.174
2.61,27.9,0.174
2.47,27.3,0.164
2.47,25.4,0.164
2.32,24.8,0.155
2.32,22.9,0.155
2.18,22.3,0.146
2.18,21,0.146
2.04,20.4,0.136
2.04,19.1,0.136
1.9,18.5,0.127
1.9,16.6,0.127
1.76,16,0.117
1.76,14.7,0.117
1.62,14.1,0.108
1.62,12.8,0.108
1.48,12.2,0.099
1.48,11,0.099
1.34,10.3,0.089
1.34,9.7,0.089
1.2,9.1,0.08
1.2,7.8,0.08
1.06,7.2,0.07
1.06,6.6,0.07
0.92,6,0.061
0.92,4.7,0.061
0.77,4.1,0.052
0.77,2.8,0.052
0.63,2.2,0.042
0.63,0.9,0.042
0.49,0.3,0.033
0.49,-0.9,0.033
0.35,-1.6,0.023
0.35,-2.2,0.023
0.21,-2.8,0.014
0.21,-4.1,0.014
0.07,-4.7,0.005
0.07,-6,0.005
-0.07,-6.6,-0.005
-0.07,-7.8,-0.005
-0.21,-8.5,-0.014
-0.21,-9.7,-0.014
-0.35,-10.3,-0.024
-0.35,-11.6,-0.024
-0.49,-12.2,-0.033
-0.49,-13.5,-0.033
-0.64,-14.1,-0.042
-0.64,-15.4,-0.042
-0.78,-16,-0.052
-0.78,-17.2,-0.052
-0.92,-17.9,-0.061
-0.92,-19.1,-0.061
-1.06,-19.8,-0.07
-1.06,-21,-0.07
-1.2,-21.6,-0.08
-1.2,-22.3,-0.08
-1.34,-22.9,-0.089
-1.34,-24.1,-0.089
-1.48,-24.8,-0.099
-1.48,-26,-0.099
-1.62,-26.7,-0.108
-1.62,-27.9,-0.108
-1.9,-29.2,-0.127
-1.9,-31,-0.127
-2.04,-31.7,-0.136
-2.04,-32.9,-0.136
-2.33,-34.2,-0.155
-2.33,-36,-0.155
-2.61,-37.3,-0.174
-2.61,-38.6,-0.174
-2.75,-39.2,-0.183
-2.75,-40.4,-0.183
-2.89,-41.1,-0.192
-2.89,-34.2,-0.192
-2.75,-33.5,-0.183
-2.75,-31,-0.183
-2.61,-30.4,-0.174
-2.61,-28.5,-0.174
-2.47,-27.9,-0.164
-2.47,-26,-0.164
-2.33,-25.4,-0.155
-2.33,-23.5,-0.155
-2.19,-22.9,-0.146
-2.19,-21.6,-0.146
-2.04,-21,-0.136
-2.04,-19.8,-0.136
-1.9,-19.1,-0.127
-1.9,-17.2,-0.127
-1.76,-16.6,-0.117
-1.76,-15.4,-0.117
-1.62,-14.7,-0.108
-1.62,-13.5,-0.108
-1.48,-12.9,-0.099
-1.48,-11.6,-0.099
-1.34,-11,-0.089
-1.34,-9.7,-0.089
-1.2,-9.1,-0.08
-1.2,-7.2,-0.08
-1.06,-6.6,-0.07
-1.06,-5.3,-0.07
-0.92,-4.7,-0.061
-0.92,-3.4,-0.061
-0.78,-2.8,-0.052
-0.78,-1.6,-0.052
-0.64,-0.9,-0.042
-0.64,0.3,-0.042
NaN,NaN,NaN
-0.92,0.3,-0.061
-0.78,0.9,-0.052
-0.78,2.2,-0.052
-0.64,2.8,-0.042
-0.64,4.1,-0.042
-0.35,5.3,-0.024
-0.35,7.2,-0.024
-0.07,8.5,-0.005
-0.07,10.3,-0.005
0.21,11.6,0.014
0.21,13.5,0.014
0.49,14.7,0.033
0.49,16,0.033
0.77,17.2,0.052
0.77,18.5,0.052
1.06,19.7,0.07
1.06,21,0.07
1.2,21.6,0.08
1.2,22.9,0.08
1.34,23.5,0.089
1.48,24.1,0.099
1.48,25.4,0.099
1.76,26.6,0.117
1.76,27.9,0.117
2.04,29.2,0.136
2.04,30.4,0.136
2.32,31.7,0.155
2.32,32.9,0.155
2.61,34.2,0.174
2.61,35.4,0.174
2.89,36.7,0.192
2.89,37.9,0.192
3.17,39.2,0.211
3.17,40.4,0.211
3.45,41.7,0.23
3.45,42.9,0.23
3.59,43.6,0.239
3.73,44.2,0.249
3.73,44.8,0.249
3.87,45.4,0.258
3.87,46.1,0.258
4.02,46.7,0.268
4.02,47.3,0.268
4.3,48.6,0.286
4.3,49.8,0.286
4.44,50.5,0.296
4.72,51.7,0.315
4.72,53,0.315
4.86,53.6,0.324
5,54.2,0.333
5,49.2,0.333
4.86,48.6,0.324
4.86,46.1,0.324
4.72,45.4,0.315
4.72,42.9,0.315
4.58,42.3,0.305
4.58,40.4,0.305
4.44,39.8,0.296
4.44,38.5,0.296
4.3,37.9,0.286
4.3,36,0.286
4.16,35.4,0.277
4.16,34.2,0.277
4.02,33.5,0.268
4.02,32.3,0.268
3.73,31,0.249
3.73,29.2,0.249
3.59,28.5,0.239
3.59,27.9,0.239
3.45,27.3,0.23
3.45,26,0.23
3.31,25.4,0.221
3.31,24.1,0.221
3.03,22.9,0.202
3.03,21.6,0.202
2.89,21,0.192
2.89,20.4,0.192
2.75,19.7,0.183
2.75,18.5,0.183
2.47,17.2,0.164
2.47,16,0.164
2.18,14.7,0.146
2.18,13.5,0.146
1.9,12.2,0.127
1.9,11,0.127
1.62,9.7,0.108
1.62,8.5,0.108
1.34,7.2,0.089
1.34,6.6,0.089
1.2,6,0.08
1.2,5.3,0.08
1.06,4.7,0.07
1.06,3.4,0.07
0.77,2.2,0.052
0.77,0.9,0.052
0.63,0.3,0.042
0.63,-0.3,0.042
0.49,-0.9,0.033
0.49,-2.2,0.033
0.21,-3.4,0.014
0.21,-5.3,0.014
-0.07,-6.6,-0.005
-0.07,-8.5,-0.005
-0.21,-9.1,-0.014
-0.21,-9.7,-0.014
-0.35,-10.3,-0.024
-0.35,-11.6,-0.024
-0.49,-12.2,-0.033
-0.49,-12.9,-0.033
-0.64,-13.5,-0.042
-0.64,-14.7,-0.042
-0.78,-15.4,-0.052
-0.78,-16,-0.052
-0.92,-16.6,-0.061
-0.92,-17.9,-0.061
-1.06,-18.5,-0.07
-1.06,-19.8,-0.07
-1.2,-20.4,-0.08
-1.2,-21,-0.08
-1.34,-21.6,-0.089
-1.34,-22.9,-0.089
-1.48,-23.5,-0.099
-1.48,-24.1,-0.099
-1.62,-24.8,-0.108
-1.62,-26,-0.108
-1.9,-27.3,-0.127
-1.9,-29.2,-0.127
-2.19,-30.4,-0.146
-2.19,-31.7,-0.146
-2.47,-32.9,-0.164
-2.47,-34.2,-0.164
-2.75,-35.4,-0.183
-2.75,-36.7,-0.183
-2.89,-37.3,-0.192
-3.17,-38.6,-0.211
-3.17,-39.8,-0.211
-3.31,-40.4,-0.221
-3.45,-41.1,-0.23
-3.73,-42.3,-0.249
-3.73,-42.9,-0.249
-4.02,-44.2,-0.268
-4.02,-44.8,-0.268
-4.16,-45.5,-0.277
-4.3,-46.1,-0.286
-4.44,-46.7,-0.296
-4.72,-48,-0.315
-4.72,-48.6,-0.315
-4.86,-49.2,-0.324
-5,-48.6,-0.333
-5,-46.7,-0.333
-4.86,-46.1,-0.324
-4.86,-43.6,-0.324
-4.72,-42.9,-0.315
-4.72,-41.7,-0.315
-4.58,-41.1,-0.305
-4.58,-39.8,-0.305
-4.44,-39.2,-0.296
-4.44,-37.9,-0.296
-4.3,-37.3,-0.286
-4.3,-36.7,-0.286
-4.16,-36,-0.277
-4.16,-34.8,-0.277
-3.88,-33.5,-0.258
-3.88,-31.7,-0.258
-3.59,-30.4,-0.239
-3.59,-29.2,-0.239
-3.45,-28.5,-0.23
-3.45,-27.3,-0.23
-3.17,-26,-0.211
-3.17,-24.8,-0.211
-3.03,-24.1,-0.202
-3.03,-22.9,-0.202
-2.75,-21.6,-0.183
-2.75,-20.4,-0.183
-2.61,-19.8,-0.174
-2.61,-18.5,-0.174
-2.33,-17.2,-0.155
-2.33,-16,-0.155
-2.19,-15.4,-0.146
-2.19,-14.1,-0.146
-2.04,-13.5,-0.136
-2.04,-12.2,-0.136
-1.76,-11,-0.117
-1.76,-9.1,-0.117
-1.62,-8.5,-0.108
-1.62,-7.8,-0.108
-1.48,-7.2,-0.099
-1.48,-6,-0.099
-1.34,-5.3,-0.089
-1.34,-4.7,-0.089
-1.2,-4.1,-0.08
-1.2,-2.8,-0.08
-1.06,-2.2,-0.07
-1.06,-0.9,-0.07
-0.92,-0.3,-0.061
-0.92,0.3,-0.061
NaN,NaN,NaN
-0.92,0.3,-0.061
-0.78,0.9,-0.052
-0.78,2.2,-0.052
-0.64,2.8,-0.042
-0.64,4.1,-0.042
-0.35,5.3,-0.024
-0.35,7.2,-0.024
-0.07,8.5,-0.005
-0.07,9.7,-0.005
0.07,10.3,0.005
0.07,11.6,0.005
0.21,12.2,0.014
0.21,12.8,0.014
0.35,13.5,0.023
0.35,14.7,0.023
0.63,16,0.042
0.63,17.2,0.042
0.77,17.9,0.052
0.92,18.5,0.061
0.92,19.7,0.061
1.2,21,0.08
1.2,22.3,0.08
1.48,23.5,0.099
1.48,24.8,0.099
1.76,26,0.117
1.76,27.3,0.117
2.04,28.5,0.136
2.04,29.8,0.136
2.32,31,0.155
2.32,32.3,0.155
2.47,32.9,0.164
2.75,34.2,0.183
2.75,35.4,0.183
3.03,36.7,0.202
3.03,37.9,0.202
3.31,39.2,0.221
3.31,40.4,0.221
3.59,41.7,0.239
3.59,42.9,0.239
3.87,44.2,0.258
3.87,45.4,0.258
4.02,46.1,0.268
4.02,46.7,0.268
4.3,48,0.286
4.3,49.2,0.286
4.58,50.5,0.305
4.58,51.7,0.305
4.86,53,0.324
4.86,53.6,0.324
5,54.2,0.333
5,48,0.333
4.86,47.3,0.324
4.86,44.8,0.324
4.72,44.2,0.315
4.72,42.3,0.315
4.58,41.7,0.305
4.58,39.2,0.305
4.44,38.5,0.296
4.44,36.7,0.296
4.3,36,0.286
4.3,34.8,0.286
4.16,34.2,0.277
4.16,32.9,0.277
4.02,32.3,0.268
4.02,31,0.268
3.73,29.8,0.249
3.73,27.9,0.249
3.59,27.3,0.239
3.59,26.6,0.239
3.45,26,0.23
3.45,24.8,0.23
3.31,24.1,0.221
3.31,23.5,0.221
3.17,22.9,0.211
3.17,21.6,0.211
2.89,20.4,0.192
2.89,19.1,0.192
2.61,17.9,0.174
2.61,16.6,0.174
2.47,16,0.164
2.47,15.4,0.164
2.32,14.7,0.155
2.32,14.1,0.155
2.04,12.8,0.136
2.04,11.6,0.136
1.76,10.3,0.117
1.76,9.1,0.117
1.48,7.8,0.099
1.48,7.2,0.099
1.2,6,0.08
1.2,4.7,0.08
0.92,3.4,0.061
0.92,2.2,0.061
0.63,0.9,0.042
0.63,-0.3,0.042
0.49,-0.9,0.033
0.49,-1.6,0.033
0.35,-2.2,0.023
0.35,-3.4,0.023
0.21,-4.1,0.014
0.21,-4.7,0.014
0.07,-5.3,0.005
0.07,-6.6,0.005
-0.21,-7.8,-0.014
-0.21,-9.7,-0.014
-0.49,-11,-0.033
-0.49,-12.9,-0.033
-0.64,-13.5,-0.042
-0.64,-14.1,-0.042
-0.78,-14.7,-0.052
-0.78,-16,-0.052
-1.06,-17.2,-0.07
-1.06,-19.1,-0.07
-1.34,-20.4,-0.089
-1.34,-22.3,-0.089
-1.62,-23.5,-0.108
-1.62,-24.8,-0.108
-1.76,-25.4,-0.117
-1.76,-26.7,-0.117
-2.04,-27.9,-0.136
-2.04,-29.2,-0.136
-2.19,-29.8,-0.146
-2.19,-31,-0.146
-2.47,-32.3,-0.164
-2.47,-32.9,-0.164
-2.61,-33.5,-0.174
-2.61,-34.2,-0.174
-2.89,-35.4,-0.192
-2.89,-36.7,-0.192
-3.17,-37.9,-0.211
-3.17,-38.6,-0.211
-3.31,-39.2,-0.221
-3.59,-40.4,-0.239
-3.59,-41.1,-0.239
-3.88,-42.3,-0.258
-3.88,-42.9,-0.258
-4.16,-44.2,-0.277
-4.16,-44.8,-0.277
-4.3,-45.5,-0.286
-4.44,-46.1,-0.296
-4.72,-47.3,-0.315
-4.72,-48,-0.315
-4.86,-48.6,-0.324
-5,-48,-0.333
-5,-46.7,-0.333
-4.86,-46.1,-0.324
-4.86,-46.7,-0.324
-4.86,-42.3,-0.324
-4.72,-41.7,-0.315
-4.72,-39.8,-0.315
-4.58,-39.2,-0.305
-4.58,-37.9,-0.305
-4.44,-37.3,-0.296
-4.44,-36,-0.296
-4.16,-34.8,-0.277
-4.16,-32.9,-0.277
-3.88,-31.7,-0.258
-3.88,-30.4,-0.258
-3.73,-29.8,-0.249
-3.73,-28.5,-0.249
-3.45,-27.3,-0.23
-3.45,-26,-0.23
-3.31,-25.4,-0.221
-3.31,-24.8,-0.221
-3.17,-24.1,-0.211
-3.17,-22.9,-0.211
-2.89,-21.6,-0.192
-2.89,-20.4,-0.192
-2.75,-19.8,-0.183
-2.75,-19.1,-0.183
-2.61,-18.5,-0.174
-2.61,-17.2,-0.174
-2.33,-16,-0.155
-2.33,-14.7,-0.155
-2.19,-14.1,-0.146
-2.19,-13.5,-0.146
-2.04,-12.9,-0.136
-2.04,-11.6,-0.136
-1.9,-11,-0.127
-1.9,-10.3,-0.127
-1.76,-9.7,-0.117
-1.76,-8.5,-0.117
-1.62,-7.8,-0.108
-1.62,-6.6,-0.108
-1.34,-5.3,-0.089
-1.34,-4.1,-0.089
-1.2,-3.4,-0.08
-1.2,-2.2,-0.08
-0.92,-0.9,-0.061
-0.92,-0.3,-0.061
NaN,NaN,NaN
-0.78,0.9,-0.052
-0.78,2.8,-0.052
-0.49,4.1,-0.033
-0.49,6,-0.033
-0.21,7.2,-0.014
-0.21,9.1,-0.014
0.07,10.3,0.005
0.07,11.6,0.005
0.21,12.2,0.014
0.21,12.8,0.014
0.35,13.5,0.023
0.35,14.7,0.023
0.63,16,0.042
0.63,17.2,0.042
0.77,17.9,0.052
0.92,18.5,0.061
0.92,19.1,0.061
1.06,19.7,0.07
1.06,20.4,0.07
1.2,21,0.08
1.2,21.6,0.08
1.34,22.3,0.089
1.34,22.9,0.089
1.48,23.5,0.099
1.48,24.1,0.099
1.62,24.8,0.108
1.62,25.4,0.108
1.76,26,0.117
1.76,26.6,0.117
1.9,27.3,0.127
1.9,27.9,0.127
2.04,28.5,0.136
2.04,29.2,0.136
2.32,30.4,0.155
2.32,31.7,0.155
2.61,32.9,0.174
2.61,33.5,0.174
2.89,34.8,0.192
2.89,36,0.192
3.17,37.3,0.211
3.17,38.5,0.211
3.45,39.8,0.23
3.45,41.1,0.23
3.73,42.3,0.249
3.73,43.6,0.249
3.87,44.2,0.258
3.87,44.8,0.258
4.02,45.4,0.268
4.02,46.1,0.268
4.16,46.7,0.277
4.16,48,0.277
4.44,49.2,0.296
4.44,50.5,0.296
4.58,51.1,0.305
4.72,51.7,0.315
4.72,52.3,0.315
4.86,53,0.324
4.86,53.6,0.324
5.14,54.9,0.343
5.14,55.5,0.343
5.42,56.7,0.361
5.28,56.7,0.352
5.42,56.7,0.361
5.56,57.4,0.371
5.7,58,0.38
5.84,58.6,0.39
5.99,59.2,0.399
6.13,59.9,0.409
6.27,59.9,0.418
6.41,60.5,0.427
6.55,61.1,0.437
6.69,61.8,0.446
6.83,62.4,0.455
6.97,63,0.465
7.11,63.6,0.474
7.25,64.3,0.484
7.39,64.3,0.493
7.53,64.9,0.502
7.53,60.5,0.502
7.39,59.2,0.493
7.39,56.7,0.493
7.25,56.1,0.484
7.25,53.6,0.484
7.11,53,0.474
7.11,51.1,0.474
6.97,50.5,0.465
6.97,49.2,0.465
6.83,48.6,0.455
6.83,47.3,0.455
6.69,46.7,0.446
6.69,45.4,0.446
6.55,44.8,0.437
6.55,44.2,0.437
6.41,43.6,0.427
6.41,42.9,0.427
6.27,42.3,0.418
6.27,41.7,0.418
6.13,41.1,0.409
6.13,39.8,0.409
5.84,38.5,0.39
5.84,37.9,0.39
5.7,37.3,0.38
5.7,36.7,0.38
5.42,35.4,0.361
5.42,34.2,0.361
5.28,33.5,0.352
5.14,32.9,0.343
5.14,32.3,0.343
4.86,31,0.324
4.86,29.8,0.324
4.58,28.5,0.305
4.58,27.3,0.305
4.3,26,0.286
4.3,24.8,0.286
4.02,23.5,0.268
4.02,22.3,0.268
3.87,21.6,0.258
3.73,21,0.249
3.73,20.4,0.249
3.45,19.1,0.23
3.45,17.9,0.23
3.31,17.2,0.221
3.17,16.6,0.211
3.17,16,0.211
2.89,14.7,0.192
2.89,13.5,0.192
2.75,12.8,0.183
2.47,11.6,0.164
2.47,11,0.164
2.18,9.7,0.146
2.18,9.1,0.146
1.9,7.8,0.127
1.9,7.2,0.127
1.62,6,0.108
1.62,5.3,0.108
1.34,4.1,0.089
1.34,3.4,0.089
1.2,2.8,0.08
1.2,2.2,0.08
1.06,1.6,0.07
1.06,0.9,0.07
0.92,0.3,0.061
0.92,-0.3,0.061
0.77,-0.9,0.052
0.77,-1.6,0.052
0.63,-2.2,0.042
0.63,-2.8,0.042
0.49,-3.4,0.033
0.49,-4.1,0.033
0.35,-4.7,0.023
0.35,-6,0.023
0.21,-6.6,0.014
0.21,-7.2,0.014
0.07,-7.8,0.005
0.07,-9.1,0.005
-0.21,-10.3,-0.014
-0.21,-11.6,-0.014
-0.49,-12.9,-0.033
-0.49,-14.1,-0.033
-0.64,-14.7,-0.042
-0.64,-16,-0.042
-0.78,-16.6,-0.052
-0.78,-17.2,-0.052
-0.92,-17.9,-0.061
-0.92,-18.5,-0.061
-1.06,-19.1,-0.07
-1.06,-20.4,-0.07
-1.34,-21.6,-0.089
-1.34,-22.9,-0.089
-1.62,-24.1,-0.108
-1.62,-25.4,-0.108
-1.76,-26,-0.117
-1.76,-27.3,-0.117
-2.04,-28.5,-0.136
-2.04,-29.8,-0.136
