Test unit,PG2
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.02,6.8,0.039
0.71,4.1,0.027
0.53,1.7,0.02
0.4,1.2,0.015
0.19,-1.3,0.007
0.12,-1.7,0.005
-0.06,-4.1,-0.002
-0.25,-5.8,-0.01
-0.4,-7.7,-0.015
-0.63,-9.9,-0.024
-0.8,-12.1,-0.031
-1.14,-15.1,-0.044
-1.33,-17.4,-0.051
-1.93,-22.8,-0.074
-2.13,-24,-0.082
-2.53,-27.6,-0.097
-2.73,-28.6,-0.105
-2.93,-29.8,-0.113
-3.13,-31.1,-0.12
-3.5,-31.3,-0.135
-3.44,-29,-0.132
-3.37,-26.6,-0.13
-3.26,-24.2,-0.125
-3.16,-21.8,-0.122
-2.99,-19.4,-0.115
-2.8,-17.2,-0.108
-2.65,-15.1,-0.102
-2.5,-13.6,-0.096
-2.32,-10.3,-0.089
-2.09,-7.8,-0.08
-1.92,-5.7,-0.074
-1.74,-3.6,-0.067
-1.65,-2.2,-0.063
-1.45,-0.9,-0.056
-1.34,-0.3,-0.052
-1.28,1.7,-0.049
-1.08,3.6,-0.041
-0.78,6.9,-0.03
-0.57,9,-0.022
-0.4,10.6,-0.015
-0.19,13.5,-0.007
-0.01,15.6,-0.001
0.31,18.3,0.012
0.49,20.7,0.019
0.75,22.3,0.029
0.95,24.7,0.037
1.73,31.8,0.066
1.92,34.1,0.074
2.25,37,0.086
2.52,39.2,0.097
2.69,40.4,0.103
3.06,43.5,0.118
3.2,44.5,0.123
3.47,46.4,0.133
3.74,48,0.144
3.97,48.8,0.153
4.24,50.1,0.163
4.56,50.6,0.175
4.8,47.7,0.185
4.74,44.3,0.182
4.59,41.1,0.177
4.39,39,0.169
4.21,35.8,0.162
4.01,33,0.154
3.78,30.8,0.145
3.56,27.9,0.137
3.32,25.4,0.128
3.16,22.9,0.121
2.97,20.4,0.114
2.69,18.1,0.104
2.44,15.1,0.094
2.17,12.2,0.084
1.67,7.7,0.064
1.42,5,0.055
1.23,3,0.047
0.93,0.3,0.036
0.81,-1.3,0.031
0.63,-2.7,0.024
0.49,-4.7,0.019
0.25,-6.1,0.01
0.06,-8.6,0.002
-0.16,-11.1,-0.006
-0.77,-16.6,-0.03
-1.73,-25.1,-0.066
-1.98,-26.9,-0.076
-2.35,-29.9,-0.09
-2.57,-31.6,-0.099
-2.81,-33,-0.108
-3.06,-34.2,-0.118
-3.29,-35.7,-0.127
-3.58,-36.8,-0.138
-3.77,-37.8,-0.145
-3.96,-39.1,-0.152
-4.28,-39.8,-0.165
-4.39,-36.3,-0.169
