Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.72,21.9,0.057
0.6,13.8,0.048
0.24,-7.5,0.019
0,-21,0
-0.24,-34.4,-0.019
-0.48,-46.6,-0.039
-0.72,-58.2,-0.057
-0.93,-69.5,-0.075
-1.16,-79.2,-0.093
-1.37,-88,-0.11
-1.57,-95.8,-0.126
-1.75,-103.3,-0.14
-1.92,-109.3,-0.153
-2.06,-114.9,-0.164
-2.18,-119.6,-0.175
-2.29,-123.7,-0.183
-2.38,-127.4,-0.19
-2.44,-129.6,-0.195
-2.49,-130.5,-0.2
-2.51,-130.5,-0.2
-2.52,-128.7,-0.201
-2.51,-118.6,-0.2
-2.43,-112.4,-0.194
-2.37,-107.4,-0.189
-2.28,-101.1,-0.182
-2.17,-94.2,-0.174
-2.03,-86.4,-0.163
-1.9,-78.3,-0.152
-1.72,-69.5,-0.138
-1.54,-60.1,-0.123
-1.35,-50.1,-0.108
-1.12,-39.4,-0.09
-0.92,-28.2,-0.074
-0.69,-16,-0.055
-0.45,-3.4,-0.036
-0.22,9.4,-0.018
-0.1,16.3,-0.008
0.09,19.4,0.007
0.04,16,0.003
0.04,15.7,0.003
0.04,16.3,0.003
0.37,42.9,0.03
0.72,52,0.057
0.82,67.9,0.066
1.05,80.8,0.084
1.27,92.4,0.102
1.47,102.1,0.117
1.65,109.6,0.132
1.85,118.3,0.148
2.01,125.5,0.161
2.15,131.5,0.172
2.27,135.6,0.182
2.38,140.6,0.19
2.47,144,0.198
2.53,145.9,0.202
2.58,147.1,0.206
2.59,147.1,0.207
2.59,145.6,0.207
2.56,137.1,0.205
2.52,134,0.201
2.45,129.3,0.196
2.36,122.4,0.188
2.25,115.2,0.18
2.12,107.7,0.17
1.96,98.3,0.157
1.8,88.6,0.144
1.62,77.3,0.129
1.41,65.1,0.113
1.21,52,0.097
1,38.2,0.08
0.77,24.4,0.062
0.62,15,0.05
0.27,-4.7,0.021
0.05,-17.5,0.004
-0.18,-30.7,-0.015
-0.43,-42.9,-0.034
-0.66,-54.5,-0.053
-0.88,-65.1,-0.07
-1.1,-74.8,-0.088
-1.33,-83.9,-0.106
-1.52,-91.4,-0.122
-1.7,-98,-0.136
-1.87,-104.2,-0.15
-2.01,-110.2,-0.161
-2.16,-115.2,-0.173
-2.27,-119,-0.182
