Test unit,C1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.54,50.6,0.04
0.57,51.5,0.043
0.58,52.9,0.043
0.6,54.4,0.044
0.63,55.4,0.047
0.67,56.8,0.05
0.71,58.2,0.053
0.73,59.6,0.054
0.76,60.7,0.056
0.8,61.7,0.059
0.83,63,0.061
0.85,64.3,0.063
0.88,65.5,0.066
0.9,66.9,0.067
0.92,68.2,0.068
0.97,69.3,0.072
1,70.6,0.074
1.03,71.8,0.077
1.07,73.1,0.079
1.12,74.5,0.083
1.15,75.7,0.085
1.19,76.8,0.088
1.23,77.9,0.091
1.27,79,0.094
1.3,80.2,0.096
1.33,81.6,0.098
1.37,82.5,0.102
1.4,83.6,0.104
1.43,84.8,0.106
1.47,85.9,0.109
1.5,87,0.111
1.54,88.1,0.114
1.58,89.1,0.117
1.61,90.4,0.119
1.65,91.5,0.122
1.7,92.2,0.126
1.73,93.6,0.128
1.76,94.7,0.131
1.81,95.6,0.134
1.86,96.6,0.138
1.88,97.8,0.139
1.93,98.5,0.143
1.98,99.3,0.147
2.02,100.2,0.15
2.06,100.8,0.153
2.13,100.8,0.158
2.13,99.4,0.158
2.14,97.8,0.158
2.13,96.3,0.158
2.13,95,0.158
2.09,93.6,0.155
2.07,92.1,0.153
2.06,90.6,0.152
2.03,89.2,0.15
1.99,88,0.147
1.98,86.6,0.146
1.97,85.2,0.146
1.93,83.9,0.143
1.9,82.8,0.14
1.86,81.3,0.138
1.84,80,0.136
1.81,78.7,0.134
1.8,77.2,0.133
1.77,76.1,0.131
1.74,74.7,0.129
1.73,73.3,0.128
1.7,72,0.126
1.67,70.7,0.124
1.67,69.3,0.123
1.65,68,0.122
1.61,66.5,0.119
1.58,65.1,0.117
1.54,64,0.114
1.52,62.6,0.112
1.48,61.1,0.109
1.46,59.7,0.108
1.43,58.4,0.106
1.41,57,0.104
1.38,55.7,0.102
1.35,54.4,0.1
1.31,52.9,0.097
1.3,51.5,0.096
1.26,50.2,0.094
1.25,48.9,0.092
1.23,47.6,0.091
1.19,46.5,0.089
1.19,44.9,0.088
1.15,43.5,0.085
1.11,42.2,0.083
1.09,40.7,0.081
1.05,39.6,0.078
1.03,38.2,0.076
1,37,0.074
0.97,35.6,0.072
0.93,34.1,0.069
0.91,32.8,0.067
0.88,31.3,0.065
0.85,29.8,0.063
0.82,28.3,0.061
0.8,26.9,0.059
0.78,25.7,0.058
0.75,24.4,0.055
0.74,23.1,0.055
0.71,21.9,0.053
0.69,20.5,0.051
0.68,18.8,0.05
0.64,17.4,0.048
0.61,15.9,0.045
0.6,14.5,0.044
0.56,13.2,0.041
0.54,11.9,0.04
0.49,10.3,0.036
0.47,8.9,0.035
0.44,7.7,0.033
0.41,6.1,0.03
0.39,4.9,0.029
0.36,3.7,0.027
0.34,2.4,0.025
0.32,0.9,0.024
0.29,-1.5,0.022
0.26,-3.1,0.019
0.23,-4.8,0.017
0.2,-6.4,0.015
0.17,-8.1,0.012
0.15,-9.5,0.011
0.12,-11,0.009
0.11,-12.4,0.008
0.06,-14.4,0.004
0.02,-15.6,0.002
-0.01,-13.7,-0
-0.01,-12.1,-0.001
-0.02,-10.2,-0.001
-0,-12,-0
-0.01,-14.3,-0.001
-0.03,-16.7,-0.003
-0.06,-18.9,-0.004
-0.08,-20.8,-0.006
-0.13,-22.5,-0.009
-0.16,-23.8,-0.012
-0.19,-25.1,-0.014
-0.22,-26.4,-0.016
-0.23,-28,-0.017
-0.27,-29.5,-0.02
-0.3,-31.1,-0.022
-0.32,-32.4,-0.024
-0.36,-33.8,-0.027
-0.4,-35,-0.029
-0.43,-36.4,-0.032
