Test unit;CT01;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.14052005;-11.42130579;-0.009691038
-0.14054362;-11.33372926;-0.009692663
-0.14056719;-11.25012795;-0.009694289
-0.140594382;-11.15971198;-0.009696164
-0.140616963;-11.0647529;-0.009697722
-0.140697565;-10.9729172;-0.00970328
-0.140854186;-10.88177109;-0.009714082
-0.140948191;-10.78409426;-0.009720565
-0.141064792;-10.68739095;-0.009728606
-0.141185995;-10.59587976;-0.009736965
-0.141266613;-10.50449027;-0.009742525
-0.14136927;-10.42182192;-0.009749605
-0.141484762;-10.33858568;-0.00975757
-0.141626473;-10.25133366;-0.009767343
-0.141726071;-10.16164784;-0.009774212
-0.141804609;-10.07269215;-0.009779628
-0.14184256;-9.983533647;-0.009782246
-0.141856387;-9.893726129;-0.009783199
-0.141816794;-9.803512977;-0.009780469
-0.141750004;-9.710054747;-0.009775862
-0.141701196;-9.612499607;-0.009772496
-0.141650296;-9.522245892;-0.009768986
-0.141612227;-9.431424288;-0.00976636
-0.141554636;-9.343198746;-0.009762389
-0.141517567;-9.264465055;-0.009759832
-0.141411179;-9.181675018;-0.009752495
-0.14125444;-9.098560474;-0.009741685
-0.141142326;-9.025708486;-0.009733954
-0.141000926;-8.95415453;-0.009724202
