Test unit;G2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0529495000000000;-42.4851;-4.23596
-0.0529370000000000;-42.4697;-4.23496
-0.0529245000000000;-42.4543;-4.23396
-0.0529120000000000;-42.4389;-4.23296
-0.0528995000000000;-42.4235;-4.23196
-0.0528870000000000;-42.4081;-4.23096
-0.0528745000000000;-42.3927;-4.22996
-0.0528620000000000;-42.3773;-4.22896
-0.0528495000000000;-42.3619;-4.22796
-0.0528370000000000;-42.3465;-4.22696
-0.0528245000000000;-42.3311;-4.22596
-0.0528120000000000;-42.3157;-4.22496
-0.0527995000000000;-42.3003;-4.22396
-0.0527870000000000;-42.2849;-4.22296
-0.0527745000000000;-42.2695;-4.22196
-0.0527620000000000;-42.2541;-4.22096
-0.0527495000000000;-42.2387;-4.21996
-0.0527370000000000;-42.2233;-4.21896
-0.0527245000000000;-42.2079;-4.21796
-0.0527120000000000;-42.1925;-4.21696
-0.0526995000000000;-42.1771;-4.21596
-0.0526870000000000;-42.1617;-4.21496
-0.0526745000000000;-42.1463;-4.21396
-0.0526620000000000;-42.1309;-4.21296
-0.0526495000000000;-42.1155;-4.21196
-0.0526370000000000;-42.1001;-4.21096
-0.0526245000000000;-42.0847;-4.20996
-0.0526120000000000;-42.0693;-4.20896
-0.0525995000000000;-42.0539;-4.20796
-0.0525870000000000;-42.0513;-4.20696
-0.0525745000000000;-42.0513;-4.20596
-0.0525620000000000;-42.0513;-4.20496
-0.0525495000000000;-42.0513;-4.20396
-0.0525370000000000;-42.0513;-4.20296
-0.0525245000000000;-42.0513;-4.20196
-0.0525120000000000;-42.0513;-4.20096
-0.0524995000000000;-42.0513;-4.19996
-0.0524870000000000;-42.0513;-4.19896
-0.0524745000000000;-42.0513;-4.19796
-0.0524620000000000;-42.0513;-4.19696
-0.0524495000000000;-42.0513;-4.19596
-0.0524370000000000;-42.0513;-4.19496
-0.0524245000000000;-42.0513;-4.19396
-0.0524120000000000;-42.0513;-4.19296
-0.0523995000000000;-42.0513;-4.19196
-0.0523870000000000;-42.0513;-4.19096
-0.0523745000000000;-42.0513;-4.18996
-0.0523620000000000;-42.0513;-4.18896
-0.0523495000000000;-42.0513;-4.18796
-0.0523370000000000;-42.0513;-4.18696
-0.0523245000000000;-42.0513;-4.18596
-0.0523120000000000;-42.0513;-4.18496
-0.0522995000000000;-42.0513;-4.18396
-0.0522870000000000;-42.0513;-4.18296
-0.0522745000000000;-42.0513;-4.18196
-0.0522620000000000;-42.0513;-4.18096
-0.0522495000000000;-42.0513;-4.17996
-0.0522370000000000;-42.0513;-4.17896
-0.0522245000000000;-42.0513;-4.17796
-0.0522120000000000;-42.0513;-4.17696
-0.0521995000000000;-42.0513;-4.17596
-0.0521870000000000;-42.0513;-4.17496
-0.0521745000000000;-42.0513;-4.17396
-0.0521620000000000;-42.0513;-4.17296
-0.0521495000000000;-42.0513;-4.17196
-0.0521370000000000;-42.0513;-4.17096
-0.0521245000000000;-42.0513;-4.16996
-0.0521120000000000;-42.0513;-4.16896
-0.0520995000000000;-42.0513;-4.16796
-0.0520870000000000;-42.0513;-4.16696
-0.0520745000000000;-42.0513;-4.16596
-0.0520620000000000;-42.0513;-4.16496
-0.0520495000000000;-42.0513;-4.16396
-0.0520370000000000;-42.0513;-4.16296
-0.0520245000000000;-42.0513;-4.16196
-0.0520120000000000;-42.0513;-4.16096
-0.0519995000000000;-42.0513;-4.15996
-0.0519870000000000;-42.0513;-4.15896
-0.0519745000000000;-42.0513;-4.15796
-0.0519620000000000;-42.0513;-4.15696
-0.0519495000000000;-42.0513;-4.15596
-0.0519370000000000;-42.0513;-4.15496
-0.0519245000000000;-42.0513;-4.15396
-0.0519120000000000;-42.0513;-4.15296
-0.0518995000000000;-42.0513;-4.15196
-0.0518870000000000;-42.0513;-4.15096
-0.0518745000000000;-42.0513;-4.14996
-0.0518620000000000;-42.0513;-4.14896
-0.0518495000000000;-42.0513;-4.14796
-0.0518370000000000;-42.0513;-4.14696
-0.0518245000000000;-42.0513;-4.14596
-0.0518120000000000;-42.0513;-4.14496
-0.0517995000000000;-42.0513;-4.14396
-0.0517870000000000;-42.0513;-4.14296
-0.0517745000000000;-42.0513;-4.14196
-0.0517620000000000;-42.0513;-4.14096
-0.0517495000000000;-42.0513;-4.13996
-0.0517370000000000;-42.0513;-4.13896
-0.0517245000000000;-42.0513;-4.13796
-0.0517120000000000;-42.0513;-4.13696
-0.0516995000000000;-42.0513;-4.13596
-0.0516870000000000;-42.0513;-4.13496
-0.0516745000000000;-42.0513;-4.13396
-0.0516620000000000;-42.0513;-4.13296
-0.0516495000000000;-42.0513;-4.13196
-0.0516370000000000;-42.0513;-4.13096
-0.0516245000000000;-42.0513;-4.12996
-0.0516120000000000;-42.0513;-4.12896
-0.0515995000000000;-42.0513;-4.12796
-0.0515870000000000;-42.0513;-4.12696
-0.0515745000000000;-42.0513;-4.12596
-0.0515620000000000;-42.0513;-4.12496
-0.0515495000000000;-42.0513;-4.12396
-0.0515370000000000;-42.0513;-4.12296
-0.0515245000000000;-42.0513;-4.12196
-0.0515120000000000;-42.0513;-4.12096
-0.0514995000000000;-42.0513;-4.11996
-0.0514870000000000;-42.0513;-4.11896
-0.0514745000000000;-42.0513;-4.11796
-0.0514620000000000;-42.0513;-4.11696
-0.0514495000000000;-42.0513;-4.11596
-0.0514370000000000;-42.0513;-4.11496
-0.0514245000000000;-42.0513;-4.11396
-0.0514120000000000;-42.0513;-4.11296
-0.0513995000000000;-42.0513;-4.11196
-0.0513870000000000;-42.0513;-4.11096
-0.0513745000000000;-42.0513;-4.10996
-0.0513620000000000;-42.0513;-4.10896
-0.0513495000000000;-42.055;-4.10796
-0.0513370000000000;-42.0705;-4.10696
-0.0513245000000000;-42.086;-4.10596
-0.0513120000000000;-42.1015;-4.10496
-0.0512995000000000;-42.117;-4.10396
-0.0512870000000000;-42.1325;-4.10296
-0.0512745000000000;-42.148;-4.10196
-0.0512620000000000;-42.1635;-4.10096
-0.0512495000000000;-42.179;-4.09996
-0.0512370000000000;-42.1945;-4.09896
-0.0512245000000000;-42.21;-4.09796
-0.0512120000000000;-42.2255;-4.09696
-0.0511995000000000;-42.241;-4.09596
-0.0511870000000000;-42.2565;-4.09496
-0.0511745000000000;-42.272;-4.09396
-0.0511620000000000;-42.2875;-4.09296
-0.0511495000000000;-42.303;-4.09196
-0.0511370000000000;-42.3185;-4.09096
-0.0511245000000000;-42.334;-4.08996
-0.0511120000000000;-42.3495;-4.08896
-0.0510995000000000;-42.365;-4.08796
-0.0510870000000000;-42.3805;-4.08696
-0.0510745000000000;-42.396;-4.08596
-0.0510620000000000;-42.4115;-4.08496
-0.0510495000000000;-42.427;-4.08396
-0.0510370000000000;-42.4425;-4.08296
-0.0510245000000000;-42.458;-4.08196
-0.0510120000000000;-42.4735;-4.08096
-0.0509995000000000;-42.489;-4.07996
-0.0509870000000000;-42.5045;-4.07896
-0.0509745000000000;-42.52;-4.07796
-0.0509620000000000;-42.5355;-4.07696
-0.0509495000000000;-42.551;-4.07596
-0.0509370000000000;-42.5641;-4.07496
-0.0509245000000000;-42.5641;-4.07396
-0.0509120000000000;-42.5641;-4.07296
-0.0508995000000000;-42.5641;-4.07196
-0.0508870000000000;-42.5641;-4.07096
-0.0508745000000000;-42.5641;-4.06996
-0.0508620000000000;-42.5641;-4.06896
-0.0508495000000000;-42.5641;-4.06796
-0.0508370000000000;-42.5641;-4.06696
-0.0508245000000000;-42.5641;-4.06596
-0.0508120000000000;-42.5641;-4.06496
-0.0507995000000000;-42.5641;-4.06396
-0.0507870000000000;-42.5641;-4.06296
-0.0507745000000000;-42.5641;-4.06196
-0.0507620000000000;-42.5641;-4.06096
-0.0507495000000000;-42.5641;-4.05996
-0.0507370000000000;-42.5641;-4.05896
-0.0507245000000000;-42.5641;-4.05796
-0.0507120000000000;-42.5641;-4.05696
-0.0506995000000000;-42.5641;-4.05596
-0.0506870000000000;-42.5641;-4.05496
-0.0506745000000000;-42.5641;-4.05396
-0.0506620000000000;-42.5641;-4.05296
-0.0506495000000000;-42.5641;-4.05196
-0.0506370000000000;-42.5641;-4.05096
-0.0506245000000000;-42.5641;-4.04996
-0.0506120000000000;-42.5641;-4.04896
-0.0505995000000000;-42.5641;-4.04796
-0.0505870000000000;-42.5641;-4.04696
-0.0505745000000000;-42.5641;-4.04596
-0.0505620000000000;-42.5641;-4.04496
-0.0505495000000000;-42.5641;-4.04396
-0.0505370000000000;-42.5641;-4.04296
-0.0505245000000000;-42.5641;-4.04196
-0.0505120000000000;-42.579;-4.04096
-0.0504995000000000;-42.5945;-4.03996
-0.0504870000000000;-42.61;-4.03896
-0.0504745000000000;-42.6255;-4.03796
-0.0504620000000000;-42.641;-4.03696
-0.0504495000000000;-42.6565;-4.03596
-0.0504370000000000;-42.672;-4.03496
-0.0504245000000000;-42.6875;-4.03396
-0.0504120000000000;-42.703;-4.03296
-0.0503995000000000;-42.7185;-4.03196
-0.0503870000000000;-42.7339;-4.03096
-0.0503745000000000;-42.7494;-4.02996
-0.0503620000000000;-42.7649;-4.02896
-0.0503495000000000;-42.7804;-4.02796
-0.0503370000000000;-42.7959;-4.02696
