Test unit;C_1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0369560000000000;-48.3678;-2.95648
-0.0369435000000000;-48.3679;-2.95548
-0.0369310000000000;-48.3679;-2.95448
-0.0369185000000000;-48.3679;-2.95348
-0.0369060000000000;-48.368;-2.95248
-0.0368935000000000;-48.368;-2.95148
-0.0368810000000000;-48.368;-2.95048
-0.0368685000000000;-48.3681;-2.94948
-0.0368560000000000;-48.3681;-2.94848
-0.0368435000000000;-48.3681;-2.94748
-0.0368310000000000;-48.3682;-2.94648
-0.0368185000000000;-48.3682;-2.94548
-0.0368060000000000;-48.3682;-2.94448
-0.0367935000000000;-48.3683;-2.94348
-0.0367810000000000;-48.3683;-2.94248
-0.0367685000000000;-48.3683;-2.94148
-0.0367560000000000;-48.3684;-2.94048
-0.0367435000000000;-48.3684;-2.93948
-0.0367310000000000;-48.3684;-2.93848
-0.0367185000000000;-48.3685;-2.93748
-0.0367060000000000;-48.3685;-2.93648
-0.0366935000000000;-48.3685;-2.93548
-0.0366810000000000;-48.3685;-2.93448
-0.0366685000000000;-48.3686;-2.93348
-0.0366560000000000;-48.3686;-2.93248
-0.0366435000000000;-48.3686;-2.93148
-0.0366310000000000;-48.3687;-2.93048
-0.0366185000000000;-48.3687;-2.92948
-0.0366060000000000;-48.3687;-2.92848
-0.0365935000000000;-48.3688;-2.92748
-0.0365810000000000;-48.3688;-2.92648
-0.0365685000000000;-48.3688;-2.92548
-0.0365560000000000;-48.3689;-2.92448
-0.0365435000000000;-48.3689;-2.92348
-0.0365310000000000;-48.3689;-2.92248
-0.0365185000000000;-48.369;-2.92148
-0.0365060000000000;-48.369;-2.92048
-0.0364935000000000;-48.369;-2.91948
-0.0364810000000000;-48.3691;-2.91848
-0.0364685000000000;-48.3691;-2.91748
-0.0364560000000000;-48.3691;-2.91648
-0.0364435000000000;-48.3692;-2.91548
-0.0364310000000000;-48.3692;-2.91448
-0.0364185000000000;-48.3692;-2.91348
-0.0364060000000000;-48.3693;-2.91248
-0.0363935000000000;-48.3693;-2.91148
-0.0363810000000000;-48.3693;-2.91048
-0.0363685000000000;-48.3693;-2.90948
-0.0363560000000000;-48.3694;-2.90848
-0.0363435000000000;-48.3694;-2.90748
-0.0363310000000000;-48.3694;-2.90648
-0.0363185000000000;-48.3695;-2.90548
-0.0363060000000000;-48.3695;-2.90448
-0.0362935000000000;-48.3695;-2.90348
-0.0362810000000000;-48.3696;-2.90248
-0.0362685000000000;-48.3696;-2.90148
-0.0362560000000000;-48.3696;-2.90048
-0.0362435000000000;-48.3697;-2.89948
-0.0362310000000000;-48.3697;-2.89848
-0.0362185000000000;-48.3697;-2.89748
-0.0362060000000000;-48.3698;-2.89648
-0.0361935000000000;-48.3698;-2.89548
-0.0361810000000000;-48.3698;-2.89448
-0.0361685000000000;-48.3699;-2.89348
-0.0361560000000000;-48.3699;-2.89248
-0.0361435000000000;-48.3699;-2.89148
-0.0361310000000000;-48.37;-2.89048
-0.0361185000000000;-48.37;-2.88948
-0.0361060000000000;-48.37;-2.88848
