Test unit;IG1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0546156250000000;-43.5897;-4.36925
-0.0546031250000000;-43.5897;-4.36825
-0.0545906250000000;-43.5897;-4.36725
-0.0545781250000000;-43.5897;-4.36625
-0.0545656250000000;-43.5897;-4.36525
-0.0545531250000000;-43.5897;-4.36425
-0.0545406250000000;-43.5897;-4.36325
-0.0545281250000000;-43.5897;-4.36225
-0.0545156250000000;-43.5897;-4.36125
-0.0545031250000000;-43.5897;-4.36025
-0.0544906250000000;-43.5897;-4.35925
-0.0544781250000000;-43.5897;-4.35825
-0.0544656250000000;-43.5897;-4.35725
-0.0544531250000000;-43.5897;-4.35625
-0.0544406250000000;-43.5897;-4.35525
-0.0544281250000000;-43.5897;-4.35425
-0.0544156250000000;-43.5897;-4.35325
-0.0544031250000000;-43.5897;-4.35225
-0.0543906250000000;-43.5897;-4.35125
-0.0543781250000000;-43.5897;-4.35025
-0.0543656250000000;-43.5897;-4.34925
-0.0543531250000000;-43.5897;-4.34825
-0.0543406250000000;-43.5897;-4.34725
-0.0543281250000000;-43.5897;-4.34625
-0.0543156250000000;-43.5897;-4.34525
-0.0543031250000000;-43.5897;-4.34425
-0.0542906250000000;-43.5897;-4.34325
-0.0542781250000000;-43.5897;-4.34225
-0.0542656250000000;-43.5897;-4.34125
-0.0542531250000000;-43.5897;-4.34025
-0.0542406250000000;-43.5897;-4.33925
-0.0542281250000000;-43.5897;-4.33825
-0.0542156250000000;-43.5897;-4.33725
-0.0542031250000000;-43.5897;-4.33625
-0.0541906250000000;-43.5897;-4.33525
-0.0541781250000000;-43.5897;-4.33425
-0.0541656250000000;-43.5897;-4.33325
-0.0541531250000000;-43.5897;-4.33225
-0.0541406250000000;-43.5897;-4.33125
-0.0541281250000000;-43.5897;-4.33025
-0.0541156250000000;-43.5897;-4.32925
-0.0541031250000000;-43.5897;-4.32825
-0.0540906250000000;-43.5897;-4.32725
-0.0540781250000000;-43.5897;-4.32625
-0.0540656250000000;-43.5897;-4.32525
-0.0540531250000000;-43.5897;-4.32425
-0.0540406250000000;-43.5897;-4.32325
-0.0540281250000000;-43.5897;-4.32225
-0.0540156250000000;-43.5897;-4.32125
-0.0540031250000000;-43.5897;-4.32025
-0.0539906250000000;-43.5897;-4.31925
-0.0539781250000000;-43.5897;-4.31825
-0.0539656250000000;-43.5897;-4.31725
-0.0539531250000000;-43.5897;-4.31625
-0.0539406250000000;-43.5897;-4.31525
-0.0539281250000000;-43.5897;-4.31425
-0.0539156250000000;-43.5897;-4.31325
-0.0539031250000000;-43.5897;-4.31225
-0.0538906250000000;-43.5897;-4.31125
-0.0538781250000000;-43.5897;-4.31025
-0.0538656250000000;-43.5897;-4.30925
-0.0538531250000000;-43.5897;-4.30825
-0.0538406250000000;-43.5897;-4.30725
-0.0538281250000000;-43.5897;-4.30625
-0.0538156250000000;-43.5897;-4.30525
-0.0538031250000000;-43.5897;-4.30425
-0.0537906250000000;-43.5897;-4.30325
-0.0537781250000000;-43.5897;-4.30225
-0.0537656250000000;-43.5897;-4.30125
-0.0537531250000000;-43.5897;-4.30025
-0.0537406250000000;-43.5897;-4.29925
-0.0537281250000000;-43.5897;-4.29825
