Test unit;URM2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0165813750000000;-37.5719;-1.32651
-0.0165688750000000;-37.5719;-1.32551
-0.0165563750000000;-37.5719;-1.32451
-0.0165438750000000;-37.5719;-1.32351
-0.0165313750000000;-37.5719;-1.32251
-0.0165188750000000;-37.5719;-1.32151
-0.0165063750000000;-37.5719;-1.32051
-0.0164938750000000;-37.5719;-1.31951
-0.0164813750000000;-37.5719;-1.31851
-0.0164688750000000;-37.5719;-1.31751
-0.0164563750000000;-37.5719;-1.31651
-0.0164438750000000;-37.5719;-1.31551
-0.0164313750000000;-37.5719;-1.31451
-0.0164188750000000;-37.5719;-1.31351
-0.0164063750000000;-37.5719;-1.31251
-0.0163938750000000;-37.5719;-1.31151
-0.0163813750000000;-37.5719;-1.31051
-0.0163688750000000;-37.5719;-1.30951
-0.0163563750000000;-37.5719;-1.30851
-0.0163438750000000;-37.587;-1.30751
-0.0163313750000000;-37.6024;-1.30651
-0.0163188750000000;-37.6178;-1.30551
-0.0163063750000000;-37.6333;-1.30451
-0.0162938750000000;-37.6487;-1.30351
-0.0162813750000000;-37.6641;-1.30251
-0.0162688750000000;-37.6796;-1.30151
-0.0162563750000000;-37.695;-1.30051
-0.0162438750000000;-37.7104;-1.29951
-0.0162313750000000;-37.7259;-1.29851
-0.0162188750000000;-37.7413;-1.29751
-0.0162063750000000;-37.7567;-1.29651
-0.0161938750000000;-37.7722;-1.29551
-0.0161813750000000;-37.7876;-1.29451
-0.0161688750000000;-37.803;-1.29351
-0.0161563750000000;-37.8185;-1.29251
-0.0161438750000000;-37.8339;-1.29151
-0.0161313750000000;-37.8493;-1.29051
-0.0161188750000000;-37.8647;-1.28951
-0.0161063750000000;-37.8802;-1.28851
-0.0160938750000000;-37.8956;-1.28751
-0.0160813750000000;-37.911;-1.28651
-0.0160688750000000;-37.9265;-1.28551
-0.0160563750000000;-37.9419;-1.28451
-0.0160438750000000;-37.9573;-1.28351
-0.0160313750000000;-37.9728;-1.28251
-0.0160188750000000;-37.9882;-1.28151
-0.0160063750000000;-38.0036;-1.28051
-0.0159938750000000;-38.0191;-1.27951
-0.0159813750000000;-38.0345;-1.27851
-0.0159688750000000;-38.0499;-1.27751
-0.0159563750000000;-38.0654;-1.27651
-0.0159438750000000;-38.0808;-1.27551
